"","Herbarium","Accession","Genus","Phenology","DOY","elev.true","Latitude","Longitude","SpringTemp.Modern","SpringTemp.Historic","SpringPrec.Modern","SpringPrec.Historic","Anomaly","PPT.Anomaly","Year.Collected","Month.Collected","spec.epithet"
"222","UBC","V73393","Clintonia","FLOWER",174,605,54.114554,-122.058802,9.46666666666667,8.96666666666667,115,164,0.5,-49,1926,6,"uniflora"
"223","UBC","V229798","Clintonia","FLOWER",150,610,54.112605,-122.06053,8.33333333333333,8.93333333333333,158,165,-0.6,-7,1959,5,"uniflora"
"224","UBC","V229736","Clintonia","FLOWER",166,610,54.112605,-122.06053,9.33333333333333,8.93333333333333,156,165,0.4,-9,1957,6,"uniflora"
"225","WTU","314687","Clintonia","FLOWER",179,945,48.39028,-122.10583,8.26666666666667,8.16666666666667,738,573,0.100000000000001,165,1988,6,"uniflora"
"226","WTU","186679","Clintonia","FLOWER",198,1280,44.3945,-122.1367,6.83333333333333,7.83333333333333,373,447,-1,-74,1954,7,"uniflora"
"227","ID","108555","Clintonia","FLOWER",188,1585,42.3235,-122.1969,7.33333333333333,7.16666666666667,375,186,0.166666666666666,189,1993,7,"uniflora"
"228","UBC","V37605","Clintonia","FLOWER",171,600,54.1,-122.278635,8.63333333333333,9.1,123,154,-0.466666666666667,-31,1952,6,"uniflora"
"229","UBC","V48849","Clintonia","FLOWER",165,500,53.686362,-122.714454,9.46666666666667,9.8,154,129,-0.333333333333334,25,1953,6,"uniflora"
"230","UBC","V86252","Clintonia","FLOWER",186,884,49.365713,-122.948341,7.43333333333333,7.33333333333333,481,545,0.100000000000001,-64,1960,7,"uniflora"
"231","UBC","V97670","Clintonia","FLOWER",202,930,49.366667,-122.95,7.13333333333333,7.03333333333333,494,559,0.0999999999999988,-65,1960,7,"uniflora"
"232","UBC","V97671","Clintonia","FLOWER",208,915,49.366667,-122.95,7.3,7.13333333333333,652,554,0.166666666666667,98,1959,7,"uniflora"
"233","UBC","V88167","Clintonia","FLOWER",211,650,49.366667,-122.95,8.86666666666667,8.76666666666667,351,466,0.0999999999999996,-115,1949,7,"uniflora"
"234","UBC","V27523","Clintonia","FLOWER",179,671,50.116895,-122.981521,9.23333333333333,8.83333333333333,158,192,0.399999999999999,-34,1949,6,"uniflora"
"235","UBC","V161993","Clintonia","FLOWER",197,585,49.957689,-123.1203,8.03333333333333,8.83333333333333,214,260,-0.800000000000001,-46,1976,7,"uniflora"
"236","UBC","V157730","Clintonia","FLOWER",210,1037,49.4,-123.183333,5.36666666666667,6.26666666666667,254,475,-0.899999999999999,-221,1975,7,"uniflora"
"237","UBC","V157730","Clintonia","FLOWER",210,1037,49.4,-123.183333,5.36666666666667,6.26666666666667,254,475,-0.899999999999999,-221,1975,7,"uniflora"
"238","UBC","V157730","Clintonia","FLOWER",210,1037,49.4,-123.183333,5.36666666666667,6.26666666666667,254,475,-0.899999999999999,-221,1975,7,"uniflora"
"239","UBC","V157730","Clintonia","FLOWER",210,1037,49.4,-123.183333,5.36666666666667,6.26666666666667,254,475,-0.899999999999999,-221,1975,7,"uniflora"
"240","UBC","V157730","Clintonia","FLOWER",210,1037,49.4,-123.183333,5.36666666666667,6.26666666666667,254,475,-0.899999999999999,-221,1975,7,"uniflora"
"241","UBC","V157730","Clintonia","FLOWER",210,1037,49.4,-123.183333,5.36666666666667,6.26666666666667,254,475,-0.899999999999999,-221,1975,7,"uniflora"
"242","UBC","V157730","Clintonia","FLOWER",210,1037,49.4,-123.183333,5.36666666666667,6.26666666666667,254,475,-0.899999999999999,-221,1975,7,"uniflora"
"243","UBC","V157730","Clintonia","FLOWER",210,1037,49.4,-123.183333,5.36666666666667,6.26666666666667,254,475,-0.899999999999999,-221,1975,7,"uniflora"
"244","WTU","194250","Clintonia","FLOWER",200,762,47.63055,-123.1837,7.93333333333333,8.06666666666667,511,319,-0.133333333333336,192,1948,7,"uniflora"
"245","WTU","135006","Clintonia","FLOWER",148,610,47.474604,-123.21331,9.2,9.8,268,319,-0.599999999999998,-51,1950,5,"uniflora"
"246","WTU","409145","Clintonia","FLOWER",186,762,47.516817,-123.538367,9.66666666666667,8.23333333333333,1019,740,1.43333333333333,279,2013,7,"uniflora"
"247","WTU","96181","Clintonia","FLOWER",205,183,48.09472,-123.80583,10.0333333333333,10.4333333333333,133,166,-0.4,-33,1904,7,"uniflora"
"248","UBC","V24943","Clintonia","FLOWER",204,1471,54.5,-124.333333,2.33333333333333,4.2,180,152,-1.86666666666667,28,1945,7,"uniflora"
"249","UBC","V46164","Clintonia","FLOWER",155,305,50.35,-125.1,10.5666666666667,10.1333333333333,271,355,0.433333333333334,-84,1944,6,"uniflora"
"250","UBC","V24942","Clintonia","FLOWER",190,1220,53.983333,-126.433333,6.8,5.83333333333333,108,102,0.966666666666667,6,1944,7,"uniflora"
"251","UBC","V60290","Clintonia","FLOWER",198,915,54.816667,-127.283333,5.7,5.36666666666667,197,152,0.333333333333334,45,1957,7,"uniflora"
"252","UBC","V167670","Clintonia","FLOWER",201,650,50.2,-127.5,7.6,7.46666666666667,649,705,0.133333333333335,-56,1979,7,"uniflora"
"253","UBC","V168646","Clintonia","FLOWER",162,762,50.5,-127.516667,7.66666666666667,7.26666666666667,429,634,0.4,-205,1978,6,"uniflora"
"254","UBC","V24941","Clintonia","FLOWER",176,40,52.35,-127.7,9.7,9.23333333333333,456,707,0.466666666666669,-251,1944,6,"uniflora"
"255","UBC","V37606","Clintonia","FLOWER",177,200,55.013516,-128.316742,8.6,9.83333333333333,126,98,-1.23333333333333,28,1952,6,"uniflora"
"256","UBC","V86096","Clintonia","FLOWER",171,61,54.516667,-128.633333,8.86666666666667,10.1333333333333,144,151,-1.26666666666667,-7,1954,6,"uniflora"
"257","UBC","V71099","Clintonia","FLOWER",204,213,54.526547,-128.672644,8.3,9.5,259,159,-1.2,100,1952,7,"uniflora"
"258","UBC","V144934","Clintonia","FLOWER",182,152,55.3504,-128.93676,9.33333333333333,10.1333333333333,100,109,-0.800000000000001,-9,1973,7,"uniflora"
"259","UBC","V116751","Clintonia","FLOWER",162,200,55.333333,-129.083333,9.03333333333333,9.63333333333333,105,119,-0.600000000000001,-14,1966,6,"uniflora"
